"id2","variable","value","p"
306012,"X50_to_54_years",127,9.38654841093865
306012,"X55_to_59_years",124,9.16481892091648
306012,"X60_and_61_years",32,2.36511456023651
306012,"X62_to_64_years",66,4.8780487804878
306012,"X65_and_66_years",32,2.36511456023651
306012,"X67_to_69_years",40,2.95639320029564
306012,"X70_to_74_years",55,4.0650406504065
306012,"X75_to_79_years",50,3.69549150036955
306012,"X80_to_84_years",47,3.47376201034738
306012,"X85_years_and_over",54,3.99113082039911
306013,"Xunder_5_years",47,4.18894830659536
306013,"X5_to_9_years",71,6.32798573975045
306013,"X10_to_14_years",74,6.59536541889483
306013,"X15_to_17_years",48,4.27807486631016
306013,"X18_to_21_years",40,3.5650623885918
306013,"X22_to_24_years",23,2.04991087344029
306013,"X25_to_29_years",49,4.36720142602496
306013,"X30_to_34_years",39,3.47593582887701
306013,"X35_to_39_years",66,5.88235294117647
306013,"X40_to_44_years",85,7.57575757575758
306013,"X45_to_49_years",111,9.89304812834225
306013,"X50_to_54_years",101,9.0017825311943
306013,"X55_to_59_years",116,10.3386809269162
306013,"X60_and_61_years",34,3.03030303030303
306013,"X62_to_64_years",49,4.36720142602496
306013,"X65_and_66_years",28,2.49554367201426
306013,"X67_to_69_years",28,2.49554367201426
306013,"X70_to_74_years",34,3.03030303030303
306013,"X75_to_79_years",21,1.8716577540107
306013,"X80_to_84_years",32,2.85204991087344
306013,"X85_years_and_over",26,2.31729055258467
306021,"Xunder_5_years",51,4.21139554087531
306021,"X5_to_9_years",62,5.11973575557391
306021,"X10_to_14_years",51,4.21139554087531
306021,"X15_to_17_years",34,2.80759702725021
306021,"X18_to_21_years",70,5.78034682080925
306021,"X22_to_24_years",35,2.89017341040462
306021,"X25_to_29_years",55,4.54170107349298
306021,"X30_to_34_years",57,4.70685383980182
306021,"X35_to_39_years",62,5.11973575557391
306021,"X40_to_44_years",49,4.04624277456647
306021,"X45_to_49_years",96,7.92733278282411
306021,"X50_to_54_years",81,6.68868703550784
306021,"X55_to_59_years",81,6.68868703550784
306021,"X60_and_61_years",10,0.825763831544178
306021,"X62_to_64_years",36,2.97274979355904
306021,"X65_and_66_years",25,2.06440957886045
306021,"X67_to_69_years",37,3.05532617671346
306021,"X70_to_74_years",75,6.19322873658134
306021,"X75_to_79_years",55,4.54170107349298
306021,"X80_to_84_years",76,6.27580511973576
306021,"X85_years_and_over",113,9.33113129644922
306022,"Xunder_5_years",41,4.35706695005314
306022,"X5_to_9_years",28,2.97555791710946
306022,"X10_to_14_years",33,3.50690754516472
306022,"X15_to_17_years",21,2.23166843783209
306022,"X18_to_21_years",41,4.35706695005314
306022,"X22_to_24_years",35,3.71944739638682
306022,"X25_to_29_years",66,7.01381509032944
306022,"X30_to_34_years",57,6.05738575982997
306022,"X35_to_39_years",37,3.93198724760893
306022,"X40_to_44_years",57,6.05738575982997
306022,"X45_to_49_years",93,9.88310308182784
306022,"X50_to_54_years",96,10.201912858661
306022,"X55_to_59_years",74,7.86397449521785
306022,"X60_and_61_years",25,2.6567481402763
306022,"X62_to_64_years",39,4.14452709883103
306022,"X65_and_66_years",31,3.29436769394261
306022,"X67_to_69_years",26,2.76301806588735
306022,"X70_to_74_years",36,3.82571732199787
306022,"X75_to_79_years",39,4.14452709883103
306022,"X80_to_84_years",33,3.50690754516472
306022,"X85_years_and_over",33,3.50690754516472
306023,"Xunder_5_years",67,5.14592933947773
306023,"X5_to_9_years",60,4.60829493087558
306023,"X10_to_14_years",58,4.45468509984639
306023,"X15_to_17_years",36,2.76497695852535
306023,"X18_to_21_years",55,4.22427035330261
306023,"X22_to_24_years",42,3.2258064516129
306023,"X25_to_29_years",76,5.83717357910906
306023,"X30_to_34_years",66,5.06912442396313
306023,"X35_to_39_years",69,5.29953917050691
306023,"X40_to_44_years",75,5.76036866359447
306023,"X45_to_49_years",102,7.83410138248848
306023,"X50_to_54_years",141,10.8294930875576
306023,"X55_to_59_years",105,8.06451612903226
306023,"X60_and_61_years",38,2.91858678955453
306023,"X62_to_64_years",46,3.53302611367128
306023,"X65_and_66_years",24,1.84331797235023
306023,"X67_to_69_years",38,2.91858678955453
306023,"X70_to_74_years",57,4.3778801843318
306023,"X75_to_79_years",47,3.60983102918587
306023,"X80_to_84_years",42,3.2258064516129
306023,"X85_years_and_over",58,4.45468509984639
306024,"Xunder_5_years",22,3.71621621621622
306024,"X5_to_9_years",16,2.7027027027027
306024,"X10_to_14_years",14,2.36486486486486
306024,"X15_to_17_years",20,3.37837837837838
306024,"X18_to_21_years",8,1.35135135135135
306024,"X22_to_24_years",21,3.5472972972973
306024,"X25_to_29_years",28,4.72972972972973
306024,"X30_to_34_years",21,3.5472972972973
306024,"X35_to_39_years",19,3.20945945945946
306024,"X40_to_44_years",26,4.39189189189189
306024,"X45_to_49_years",45,7.60135135135135
306024,"X50_to_54_years",51,8.61486486486486
306024,"X55_to_59_years",72,12.1621621621622
306024,"X60_and_61_years",26,4.39189189189189
306024,"X62_to_64_years",48,8.10810810810811
306024,"X65_and_66_years",24,4.05405405405405
306024,"X67_to_69_years",29,4.89864864864865
306024,"X70_to_74_years",36,6.08108108108108
306024,"X75_to_79_years",18,3.04054054054054
306024,"X80_to_84_years",28,4.72972972972973
306024,"X85_years_and_over",20,3.37837837837838
307001,"Xunder_5_years",63,6.22529644268775
307001,"X5_to_9_years",38,3.75494071146245
307001,"X10_to_14_years",53,5.23715415019763
307001,"X15_to_17_years",25,2.4703557312253
307001,"X18_to_21_years",66,6.52173913043478
307001,"X22_to_24_years",108,10.6719367588933
307001,"X25_to_29_years",95,9.38735177865613
307001,"X30_to_34_years",73,7.21343873517787
307001,"X35_to_39_years",61,6.02766798418972
307001,"X40_to_44_years",61,6.02766798418972
307001,"X45_to_49_years",66,6.52173913043478
307001,"X50_to_54_years",58,5.73122529644269
307001,"X55_to_59_years",51,5.0395256916996
307001,"X60_and_61_years",22,2.17391304347826
307001,"X62_to_64_years",33,3.26086956521739
307001,"X65_and_66_years",12,1.18577075098814
307001,"X67_to_69_years",18,1.77865612648221
307001,"X70_to_74_years",29,2.86561264822134
307001,"X75_to_79_years",23,2.27272727272727
307001,"X80_to_84_years",29,2.86561264822134
307001,"X85_years_and_over",28,2.76679841897233
307002,"Xunder_5_years",33,3.46638655462185
307002,"X5_to_9_years",37,3.88655462184874
307002,"X10_to_14_years",34,3.57142857142857
307002,"X15_to_17_years",19,1.99579831932773
307002,"X18_to_21_years",77,8.08823529411765
307002,"X22_to_24_years",66,6.9327731092437
307002,"X25_to_29_years",63,6.61764705882353
307002,"X30_to_34_years",55,5.77731092436975
